A : (1024,1024):{nnz:10,sparsity=0.000954%}
SpGEMM,0.267378,1.49%,4.64%,1.91%
A : (8192,8192):{nnz:10737,sparsity=0.015999%}
COO2CSR,0.016725,10.20%,8.16%,6.85%
CSR2COO,0.025714,3.54%,0.44%,1.33%
CSR2CSC_ALG1,0.417564,0.79%,0.68%,0.63%
CSR2CSC_ALG2,0.290702,1.80%,1.37%,1.05%
SpMV_COO,0.024007,2.37%,1.90%,2.25%
SpMV_CSR,0.032427,4.21%,2.11%,2.73%
SpMV_CSC,0.034475,0.99%,1.98%,1.49%
CSR_SPMM,0.684828,0.48%,0.42%,0.29%
COO_SPMM,0.668900,0.43%,0.19%,0.21%
SpGEMM,0.282624,23.91%,6.88%,11.66%
A : (8192,8192):{nnz:21472,sparsity=0.031996%}
COO2CSR,0.017863,43.31%,14.01%,16.98%
CSR2COO,0.020025,2.27%,2.84%,2.70%
CSR2CSC_ALG1,0.408007,1.14%,1.62%,1.01%
CSR2CSC_ALG2,0.287858,1.38%,0.75%,0.84%
SpMV_COO,0.023552,4.35%,4.35%,3.77%
SpMV_CSR,0.030265,4.89%,1.88%,2.46%
SpMV_CSC,0.034588,36.18%,8.22%,13.71%
CSR_SPMM,0.854357,0.20%,0.28%,0.16%
COO_SPMM,0.847758,0.38%,0.11%,0.15%
SpGEMM,0.273408,3.00%,3.00%,2.00%
A : (8192,8192):{nnz:42948,sparsity=0.063998%}
COO2CSR,0.020821,140.98%,21.31%,53.14%
CSR2COO,0.018204,6.88%,4.37%,3.75%
CSR2CSC_ALG1,0.419157,1.14%,0.81%,0.69%
CSR2CSC_ALG2,0.297188,4.75%,1.45%,1.88%
SpMV_COO,0.023097,6.40%,2.46%,3.22%
SpMV_CSR,0.031061,25.27%,7.69%,10.43%
SpMV_CSC,0.031972,5.69%,3.91%,3.50%
CSR_SPMM,1.079751,0.43%,0.14%,0.19%
COO_SPMM,1.122418,0.17%,0.10%,0.10%
SpGEMM,0.335076,41.19%,6.79%,15.53%
A : (8192,8192):{nnz:85898,sparsity=0.127998%}
